item,abc,xyz,abc_xyz
sku12231,C,X,CX
sku1937,C,Z,CZ
sku23138,C,X,CX
sku30146,C,X,CX
sku9384,C,X,CX
sku26862,C,Z,CZ
sku3960,C,Z,CZ
sku28471,C,Z,CZ
sku21538,C,Z,CZ
sku28668,C,Z,CZ
sku23314,C,Z,CZ
sku29385,C,Z,CZ
sku15121,C,Z,CZ
sku15870,C,Z,CZ
sku3091,C,X,CX
sku29097,C,X,CX
sku27547,C,Z,CZ
sku1388,C,Z,CZ
sku1892,C,X,CX
sku4770,C,X,CX
sku27802,C,Z,CZ
sku14150,C,Z,CZ
sku21791,C,Y,CY
sku15240,C,Z,CZ
sku7734,C,X,CX
