clientID,quantity,amount,visits
client11098,77,21640,12
client11099,7,429,1
client111,38,14297,6
client1110,12,1070,1
client11100,48,9819,6
client11101,4,13659,3
client11102,8,2033,3
client11103,3,4095,2
client11104,44,16069,4
client11105,28,2114,3
client11106,1,465,1
client11107,194,32882,16
client11108,2,108,1
client11109,7,1315,1
client1111,4,1028,1
client11110,31,9489,4
client11111,45,2500,5
client11112,4,1698,1
client11113,37,3414,5
client11114,45,21501,6
client11115,1,4199,1
client11116,37,5303,12
client11117,110,18703,12
client11118,48,44849,7
client11119,105,24057,3
client1112,88,32089,11
client11120,52,4839,4
client11121,1,3299,1
client11122,1,1365,1
client11123,11,3228,2
client11124,284,39723,14
client11125,32,3808,4
client11126,26,6983,11
client11127,47,7452,9
client11128,15,1107,4
client11129,17,4745,3
client1113,14,2336,2
client11130,13,1612,1
client11131,7,2018,1
client11132,3,207,1
client11133,4,3024,1
client11134,10,7298,2
client11135,11,739,3
client11136,20,3984,2
client11137,58,13951,4
client11138,6,1720,3
client11139,4,6167,2
client1114,16,7997,4
client11140,22,5798,1
client11141,153,25905,7
client11142,18,5516,6
client11143,223,48066,64
client11144,17,2035,4
client11145,28,26507,2
client11146,5,1031,2
